City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
henties bay,-22.116,14.2845,50.86,89,0,3.44,NA,1630388696
hermanus,-34.4187,19.2345,53.8,71,92,20.0,ZA,1630388533
hillsboro,45.5229,-122.9898,63.84,66,90,5.75,US,1630388716
hilo,19.7297,-155.09,78.53,77,75,3.44,US,1630388433
hirara,24.8,125.2833,89.46,74,40,11.5,JP,1630388759
hithadhoo,-0.6,73.0833,82.2,68,70,3.09,MV,1630388532
hobart,-42.8794,147.3294,64.26,48,75,19.57,AU,1630388579
hobyo,5.3505,48.5268,80.76,67,64,21.34,SO,1630388753
hofn,64.2539,-15.2082,55.63,66,63,3.62,IS,1630388563
houma,29.5958,-90.7195,80.6,92,20,8.5,US,1630388697
hualmay,-11.0964,-77.6139,60.98,86,69,7.65,PE,1630388604
huarmey,-10.0681,-78.1522,62.19,86,69,8.57,PE,1630388747
hudson bay,52.85,-102.3842,57.06,78,52,3.56,CA,1630388692
husavik,66.0449,-17.3389,58.91,84,96,10.04,IS,1630388641
ikalamavony,-21.15,46.5833,74.98,55,14,4.7,MG,1630388537
ikongo,-21.8833,47.4333,70.84,90,94,2.1,MG,1630388628
ilhabela,-23.7781,-45.3581,67.15,88,69,7.29,BR,1630388546
illapel,-31.6308,-71.1653,49.62,88,22,1.03,CL,1630388717
ilulissat,69.2167,-51.1,33.82,80,16,1.14,GL,1630388686
imbituba,-28.24,-48.6703,66.09,94,64,7.52,BR,1630388684
indore,22.7179,75.8333,82.58,78,75,6.91,IN,1630388623
inirida,3.8653,-67.9239,69.94,94,100,2.53,CO,1630388596
inta,66.0317,60.1659,43.3,73,100,5.37,RU,1630388773
iqaluit,63.7506,-68.5145,37.13,87,75,3.44,CA,1630388739
isangel,-19.55,169.2667,78.91,61,75,4.61,VU,1630388535
isiolo,0.3546,37.5822,74.48,58,56,1.63,KE,1630388776
isiro,2.7739,27.616,72.86,82,89,1.68,CD,1630388760
itarema,-2.9248,-39.9167,77.4,82,100,15.73,BR,1630388643
ixtapa,20.7,-105.2,78.22,95,98,2.73,MX,1630388669
jacareacanga,-6.2222,-57.7528,71.01,99,100,0.63,BR,1630388613
jalu,29.0331,21.5482,87.84,25,0,5.14,LY,1630388722
jamestown,42.097,-79.2353,67.59,93,1,1.99,US,1630388300
